Date,Sale_ID,Offer_ID,Offer_description,Product_ID,Product_category,Quantity_sold,Sales,Cost_Price,Profit,Customer_ID,Region,Day_of_the_week,Season
11/24/2023,1001,5002,10% off,P095,Groceries,4,1154.56,774.08,380.48,C229,South,Saturday,Spring
12/13/2023,1002,5002,10% off,P076,Furniture,1,428.95,368.68,60.27,C031,North,Tuesday,Summer
09/16/2023,1003,5002,10% off,P072,Clothing,9,926.01,778.05,147.96,C430,South,Thursday,Autumn
01/04/23,1004,5003,30% off,P044,Groceries,3,375.63,115.38,260.25,C221,East,Monday,Spring
07/14/2023,1005,5001,Buy 1 Get 1,P045,Toys,5,1878.25,1522.75,355.5,C827,North,Saturday,Winter
10/02/23,1006,5003,30% off,P011,Toys,5,585.55,100.45,485.1,C850,East,Friday,Summer
12/27/2023,1007,5002,10% off,P085,Clothing,5,2199.6,2089.5,110.1,C082,South,Sunday,Spring
07/14/2023,1008,5003,30% off,P082,Groceries,3,354.75,297.27,57.48,C380,East,Tuesday,Autumn
12/26/2023,1009,5000,Free Shipping,P082,Clothing,9,1908.27,1431.72,476.55,C747,South,Tuesday,Winter
07/14/2023,1010,5000,Free Shipping,P029,Groceries,1,251.48,221.65,29.83,C235,North,Sunday,Autumn
07/25/2023,1011,5002,10% off,P028,Toys,6,1947.72,1858.86,88.86,C218,West,Thursday,Winter
03/15/2023,1012,5005,20% off,P032,Toys,9,1713.78,1378.35,335.43,C270,West,Friday,Winter
07/05/23,1013,5005,20% off,P066,Furniture,2,624.4,466.94,157.46,C774,North,Sunday,Spring
03/20/2023,1014,5003,30% off,P077,Electronics,7,1118.25,754.88,363.37,C391,West,Friday,Autumn
10/11/23,1015,5002,10% off,P088,Toys,5,1529.4,1501.4,28,C788,East,Monday,Autumn
08/11/23,1016,5003,30% off,P001,Groceries,9,2930.22,2769.3,160.92,C781,South,Friday,Spring
11/17/2023,1017,5000,Free Shipping,P078,Clothing,3,410.46,125.64,284.82,C383,South,Friday,Spring
11/03/23,1018,5003,30% off,P003,Electronics,6,3385.14,2898.96,486.18,C900,East,Tuesday,Spring
05/04/23,1019,5002,10% off,P011,Furniture,2,339.86,318.52,21.34,C779,South,Tuesday,Winter
10/09/23,1020,5001,Buy 1 Get 1,P068,Toys,7,2728.95,2416.89,312.06,C988,South,Friday,Summer
06/09/23,1021,5001,Buy 1 Get 1,P057,Toys,8,958.56,558.4,400.16,C124,South,Tuesday,Spring
06/23/2023,1022,5000,Free Shipping,P071,Clothing,10,1178.7,268.5,910.2,C226,North,Monday,Spring
04/28/2023,1023,5002,10% off,P043,Electronics,9,1830.51,1231.2,599.31,C244,East,Saturday,Winter
04/20/2023,1024,5005,20% off,P093,Toys,10,2152.3,1627.4,524.9,C485,South,Sunday,Winter
07/28/2023,1025,5002,10% off,P013,Furniture,6,1783.14,1667.34,115.8,C434,West,Thursday,Spring
12/11/23,1026,5002,10% off,P052,Groceries,2,1125.68,970.2,155.48,C255,South,Tuesday,Winter
03/13/2023,1027,5005,20% off,P036,Furniture,4,2239.76,1881.4,358.36,C896,North,Thursday,Spring
01/26/2023,1028,5002,10% off,P012,Clothing,3,1185.72,908.91,276.81,C417,West,Thursday,Summer
07/25/2023,1029,5005,20% off,P049,Electronics,7,516.32,373.52,142.8,C272,West,Wednesday,Winter
12/23/2023,1030,5003,30% off,P020,Clothing,5,326.85,160.8,166.05,C223,North,Friday,Spring
06/10/23,1031,5002,10% off,P075,Furniture,9,2054.79,1804.05,250.74,C942,South,Monday,Spring
04/06/23,1032,5000,Free Shipping,P009,Clothing,7,3166.8,2912.56,254.24,C123,South,Friday,Spring
11/14/2023,1033,5003,30% off,P085,Toys,10,2023.9,1476.6,547.3,C536,East,Wednesday,Summer
12/09/23,1034,5005,20% off,P034,Furniture,3,478.41,237.15,241.26,C688,East,Thursday,Autumn
02/07/23,1035,5003,30% off,P080,Toys,2,290.46,93.06,197.4,C076,South,Friday,Autumn
03/09/23,1036,5002,10% off,P032,Groceries,5,2045.35,1942,103.35,C162,West,Sunday,Autumn
11/10/23,1037,5002,10% off,P086,Toys,5,472.2,63.55,408.65,C955,North,Tuesday,Autumn
03/01/23,1038,5000,Free Shipping,P020,Groceries,5,2147.65,1781.8,365.85,C620,South,Saturday,Autumn
04/15/2023,1039,5000,Free Shipping,P063,Groceries,1,396.25,387.92,8.33,C095,West,Sunday,Autumn
01/23/2023,1040,5001,Buy 1 Get 1,P099,Clothing,5,990.6,928.25,62.35,C166,West,Friday,Winter
10/15/2023,1041,5002,10% off,P010,Clothing,9,4460.67,3896.28,564.39,C037,East,Friday,Summer
08/09/23,1042,5002,10% off,P040,Groceries,1,179.43,172.14,7.29,C921,East,Tuesday,Summer
12/08/23,1043,5001,Buy 1 Get 1,P100,Toys,7,1368.99,1136.66,232.33,C998,South,Tuesday,Summer
04/01/23,1044,5002,10% off,P023,Groceries,7,3021.41,2572.57,448.84,C822,South,Wednesday,Summer
12/26/2023,1045,5003,30% off,P005,Furniture,4,1969.92,1778.92,191,C205,West,Wednesday,Autumn
04/27/2023,1046,5002,10% off,P085,Clothing,7,981.47,480.2,501.27,C337,East,Sunday,Spring
05/23/2023,1047,5000,Free Shipping,P052,Toys,6,2636.1,2296.68,339.42,C962,North,Monday,Autumn
04/02/23,1048,5001,Buy 1 Get 1,P005,Electronics,10,4376.6,3877.7,498.9,C445,East,Saturday,Autumn
08/12/23,1049,5000,Free Shipping,P015,Furniture,10,3094.7,2661.4,433.3,C195,East,Monday,Winter
01/01/23,1050,5000,Free Shipping,P088,Clothing,6,204.84,134.76,70.08,C442,North,Saturday,Autumn
11/16/2023,1051,5002,10% off,P093,Groceries,9,804.6,228.6,576,C317,West,Wednesday,Winter
12/23/2023,1052,5000,Free Shipping,P017,Clothing,7,1507.66,1148.21,359.45,C681,West,Saturday,Summer
11/12/23,1053,5001,Buy 1 Get 1,P052,Toys,1,480.39,454.71,25.68,C312,East,Tuesday,Winter
10/24/2023,1054,5001,Buy 1 Get 1,P060,Furniture,8,2295.12,1688.72,606.4,C692,South,Friday,Winter
03/28/2023,1055,5001,Buy 1 Get 1,P066,Toys,6,784.38,732.66,51.72,C096,South,Saturday,Autumn
04/26/2023,1056,5005,20% off,P004,Electronics,4,675.76,607.92,67.84,C487,North,Thursday,Winter
